Date,HomeTeam,AwayTeam,FTHG,FTAG,BbAHh,HMargin,H_Bet_Win
160813,Burnley,Swansea,0,1,-0.25,-1,False
160813,Crystal Palace,West Brom,0,1,-0.5,-1,False
160813,Everton,Tottenham,1,1,0.25,0,True
160813,Hull,Leicester,2,1,0.25,1,True
160813,Man City,Sunderland,2,1,-1.5,1,False
160813,Middlesbrough,Stoke,1,1,-0.25,0,False
160813,Southampton,Watford,1,1,-0.75,0,False
160814,Arsenal,Liverpool,3,4,-0.5,-1,False
160814,Bournemouth,Man United,1,3,0.75,-2,False
160815,Chelsea,West Ham,2,1,-1.0,1,False
160819,Man United,Southampton,2,0,-1.0,2,True
160820,Burnley,Liverpool,2,0,1.0,2,True
160820,Tottenham,Crystal Palace,1,0,-1.0,1,False
160820,West Brom,Everton,1,2,0.25,-1,False
160820,Watford,Chelsea,1,2,0.75,-1,False
160820,Leicester,Arsenal,0,0,0.25,0,True
160820,Swansea,Hull,0,2,-1.0,-2,False
160820,Stoke,Man City,1,4,1.0,-3,False
160821,Sunderland,Middlesbrough,1,2,-0.25,-1,False
160821,West Ham,Bournemouth,1,0,-0.5,1,True
160827,Southampton,Sunderland,1,1,-1.0,0,False
160827,Watford,Arsenal,1,3,1.0,-2,False
160827,Tottenham,Liverpool,1,1,-0.25,0,False
160827,Leicester,Swansea,2,1,-1.0,1,False
160827,Crystal Palace,Bournemouth,1,1,-0.25,0,False
160827,Chelsea,Burnley,3,0,-2.0,3,True
160827,Everton,Stoke,1,0,-1.0,1,False
160827,Hull,Man United,0,1,1.0,-1,False
160828,Man City,West Ham,3,1,-1.5,2,True
160828,West Brom,Middlesbrough,0,0,-0.25,0,False
160910,Middlesbrough,Crystal Palace,1,2,-0.25,-1,False
160910,Stoke,Tottenham,0,4,0.75,-4,False
160910,West Ham,Watford,2,4,-0.75,-2,False
160910,Man United,Man City,1,2,-0.25,-1,False
160910,Arsenal,Southampton,2,1,-1.0,1,False
160910,Burnley,Hull,1,1,-0.25,0,False
160910,Bournemouth,West Brom,1,0,-0.5,1,True
160910,Liverpool,Leicester,4,1,-1.0,3,True
160911,Swansea,Chelsea,2,2,1.0,0,True
160912,Sunderland,Everton,0,3,0.5,-3,False
160916,Chelsea,Liverpool,1,2,-0.25,-1,False
160917,West Brom,West Ham,4,2,-0.25,2,True
160917,Leicester,Burnley,3,0,-1.0,3,True
160917,Man City,Bournemouth,4,0,-2.0,4,True
160917,Everton,Middlesbrough,3,1,-1.0,2,True
160917,Hull,Arsenal,1,4,1.0,-3,False
160918,Southampton,Swansea,1,0,-1.0,1,False
160918,Crystal Palace,Stoke,4,1,-0.25,3,True
160918,Watford,Man United,3,1,1.0,2,True
160918,Tottenham,Sunderland,1,0,-1.5,1,False
160924,Man United,Leicester,4,1,-1.0,3,True
160924,Stoke,West Brom,1,1,-0.25,0,False
160924,Middlesbrough,Tottenham,1,2,0.25,-1,False
160924,Liverpool,Hull,5,1,-2.0,4,True
160924,Swansea,Man City,1,3,1.5,-2,False
160924,Arsenal,Chelsea,3,0,-0.25,3,True
160924,Sunderland,Crystal Palace,2,3,0.0,-1,False
160924,Bournemouth,Everton,1,0,0.5,1,True
160925,West Ham,Southampton,0,3,0.0,-3,False
160926,Burnley,Watford,2,0,0.0,2,True
160930,Everton,Crystal Palace,1,1,-1.0,0,False
161001,Hull,Chelsea,0,2,1.0,-2,False
161001,Sunderland,West Brom,1,1,-0.25,0,False
161001,Swansea,Liverpool,1,2,1.0,-1,False
161001,Watford,Bournemouth,2,2,-0.25,0,False
161001,West Ham,Middlesbrough,1,1,-0.25,0,False
161002,Tottenham,Man City,2,0,0.25,2,True
161002,Man United,Stoke,1,1,-1.5,0,False
161002,Burnley,Arsenal,0,1,1.5,-1,True
161002,Leicester,Southampton,0,0,-0.25,0,False
161015,Crystal Palace,West Ham,0,1,-0.5,-1,False
161015,Bournemouth,Hull,6,1,-1.0,5,True
161015,Chelsea,Leicester,3,0,-1.0,3,True
161015,West Brom,Tottenham,1,1,0.75,0,True
161015,Man City,Everton,1,1,-1.5,0,False
161015,Stoke,Sunderland,2,0,-0.75,2,True
161015,Arsenal,Swansea,3,2,-2.0,1,False
161016,Middlesbrough,Watford,0,1,-0.25,-1,False
161016,Southampton,Burnley,3,1,-1.5,2,True
161017,Liverpool,Man United,0,0,-0.5,0,False
161022,Liverpool,West Brom,2,1,-1.5,1,False
161022,West Ham,Sunderland,1,0,-1.0,1,False
161022,Swansea,Watford,0,0,-0.25,0,False
161022,Leicester,Crystal Palace,3,1,-0.5,2,True
161022,Hull,Stoke,0,2,0.25,-2,False
161022,Burnley,Everton,2,1,1.0,1,True
161022,Bournemouth,Tottenham,0,0,0.5,0,True
161022,Arsenal,Middlesbrough,0,0,-2.0,0,False
161023,Chelsea,Man United,4,0,-0.25,4,True
161023,Man City,Southampton,1,1,-1.0,0,False
161029,Man United,Burnley,0,0,-2.0,0,False
161029,Crystal Palace,Liverpool,2,4,1.0,-2,False
161029,Middlesbrough,Bournemouth,2,0,-0.25,2,True
161029,West Brom,Man City,0,4,1.0,-4,False
161029,Tottenham,Leicester,1,1,-1.0,0,False
161029,Sunderland,Arsenal,1,4,1.0,-3,False
161029,Watford,Hull,1,0,-1.0,1,False
161030,Everton,West Ham,2,0,-1.0,2,True
161030,Southampton,Chelsea,0,2,0.25,-2,False
161031,Stoke,Swansea,3,1,-0.75,2,True
161105,Burnley,Crystal Palace,3,2,0.25,1,True
161105,Bournemouth,Sunderland,1,2,-1.0,-1,False
161105,West Ham,Stoke,1,1,-0.5,0,False
161105,Chelsea,Everton,5,0,-1.0,5,True
161105,Man City,Middlesbrough,1,1,-2.0,0,False
161106,Swansea,Man United,1,3,1.0,-2,False
161106,Liverpool,Watford,6,1,-2.0,5,True
161106,Arsenal,Tottenham,1,1,-0.25,0,False
161106,Hull,Southampton,2,1,1.0,1,True
161106,Leicester,West Brom,1,2,-1.0,-1,False
161119,Tottenham,West Ham,3,2,-1.0,1,False
161119,Man United,Arsenal,1,1,-0.25,0,False
161119,Everton,Swansea,1,1,-1.0,0,False
161119,Crystal Palace,Man City,1,2,1.0,-1,False
161119,Southampton,Liverpool,0,0,0.25,0,True
161119,Watford,Leicester,2,1,0.25,1,True
161119,Sunderland,Hull,3,0,-0.25,3,True
161119,Stoke,Bournemouth,0,1,-0.25,-1,False
161120,Middlesbrough,Chelsea,0,1,1.0,-1,False
161121,West Brom,Burnley,4,0,-0.25,4,True
161126,Liverpool,Sunderland,2,0,-2.0,2,False
161126,Leicester,Middlesbrough,2,2,-0.5,0,False
161126,Swansea,Crystal Palace,5,4,0.0,1,True
161126,Chelsea,Tottenham,2,1,-1.0,1,False
161126,Burnley,Man City,1,2,1.5,-1,True
161126,Hull,West Brom,1,1,0.25,0,True
161127,Southampton,Everton,1,0,-0.25,1,True
161127,Arsenal,Bournemouth,3,1,-1.0,2,True
161127,Man United,West Ham,1,1,-1.0,0,False
161127,Watford,Stoke,0,1,-0.25,-1,False
161203,Stoke,Burnley,2,0,-1.0,2,True
161203,Sunderland,Leicester,2,1,0.25,1,True
161203,Crystal Palace,Southampton,3,0,0.25,3,True
161203,Man City,Chelsea,1,3,-0.25,-2,False
161203,West Brom,Watford,3,1,-0.25,2,True
161203,Tottenham,Swansea,5,0,-1.5,5,True
161203,West Ham,Arsenal,1,5,1.0,-4,False
161204,Everton,Man United,1,1,0.25,0,True
161204,Bournemouth,Liverpool,4,3,1.0,1,True
161205,Middlesbrough,Hull,1,0,-1.0,1,False
161210,Swansea,Sunderland,3,0,-0.25,3,True
161210,Watford,Everton,3,2,0.25,1,True
161210,Leicester,Man City,4,2,1.0,2,True
161210,Arsenal,Stoke,3,1,-1.5,2,True
161210,Burnley,Bournemouth,3,2,0.25,1,True
161210,Hull,Crystal Palace,3,3,0.25,0,True
161211,Chelsea,West Brom,1,0,-1.5,1,False
161211,Liverpool,West Ham,2,2,-1.5,0,False
161211,Man United,Tottenham,1,0,-0.25,1,True
161211,Southampton,Middlesbrough,1,0,-1.0,1,False
161213,Bournemouth,Leicester,1,0,-0.25,1,True
161213,Everton,Arsenal,2,1,0.5,1,True
161214,Man City,Watford,2,0,-1.5,2,True
161214,Middlesbrough,Liverpool,0,3,1.0,-3,False
161214,Crystal Palace,Man United,1,2,1.0,-1,False
161214,Stoke,Southampton,0,0,0.25,0,True
161214,Tottenham,Hull,3,0,-2.0,3,True
161214,West Brom,Swansea,3,1,-0.5,2,True
161214,West Ham,Burnley,1,0,-1.0,1,False
161214,Sunderland,Chelsea,0,1,1.5,-1,True
161217,Stoke,Leicester,2,2,0.0,0,False
161217,Crystal Palace,Chelsea,0,1,1.0,-1,False
161217,Middlesbrough,Swansea,3,0,-0.5,3,True
161217,West Brom,Man United,0,2,1.0,-2,False
161217,Sunderland,Watford,1,0,0.0,1,True
161217,West Ham,Hull,1,0,-1.0,1,False
161218,Tottenham,Burnley,2,1,-2.0,1,False
161218,Bournemouth,Southampton,1,3,0.0,-2,False
161218,Man City,Arsenal,2,1,-0.25,1,True
161219,Everton,Liverpool,0,1,0.5,-1,False
161226,Hull,Man City,0,3,1.5,-3,False
161226,Arsenal,West Brom,1,0,-1.5,1,False
161226,Burnley,Middlesbrough,1,0,0.0,1,True
161226,Chelsea,Bournemouth,3,0,-1.5,3,True
161226,Leicester,Everton,0,2,-0.25,-2,False
161226,Swansea,West Ham,1,4,0.0,-3,False
161226,Watford,Crystal Palace,1,1,-0.25,0,False
161226,Man United,Sunderland,3,1,-2.0,2,False
161227,Liverpool,Stoke,4,1,-1.5,3,True
161228,Southampton,Tottenham,1,4,0.0,-3,False
161230,Hull,Everton,2,2,0.5,0,True
161231,Southampton,West Brom,1,2,-1.0,-1,False
161231,Chelsea,Stoke,4,2,-1.5,2,True
161231,Burnley,Sunderland,4,1,-0.25,3,True
161231,Swansea,Bournemouth,0,3,0.0,-3,False
161231,Leicester,West Ham,1,0,-0.5,1,True
161231,Liverpool,Man City,1,0,-0.25,1,True
161231,Man United,Middlesbrough,2,1,-1.5,1,False
170101,Watford,Tottenham,1,4,1.0,-3,False
170101,Arsenal,Crystal Palace,2,0,-1.5,2,True
170102,West Brom,Hull,3,1,-1.0,2,True
170102,Sunderland,Liverpool,2,2,1.5,0,True
170102,West Ham,Man United,0,2,1.0,-2,False
170102,Man City,Burnley,2,1,-2.0,1,False
170102,Everton,Southampton,3,0,-0.25,3,True
170102,Middlesbrough,Leicester,0,0,0.0,0,False
170103,Bournemouth,Arsenal,3,3,0.75,0,True
170103,Stoke,Watford,2,0,-0.5,2,True
170103,Crystal Palace,Swansea,1,2,-1.0,-1,False
170104,Tottenham,Chelsea,2,0,0.0,2,True
170114,Leicester,Chelsea,0,3,1.0,-3,False
170114,Tottenham,West Brom,4,0,-1.5,4,True
170114,Swansea,Arsenal,0,4,1.0,-4,False
170114,Sunderland,Stoke,1,3,0.25,-2,False
170114,Burnley,Southampton,1,0,0.25,1,True
170114,Hull,Bournemouth,3,1,0.25,2,True
170114,Watford,Middlesbrough,0,0,-0.25,0,False
170114,West Ham,Crystal Palace,3,0,-0.25,3,True
170115,Everton,Man City,4,0,1.0,4,True
170115,Man United,Liverpool,1,1,-0.25,0,False
170121,Man City,Tottenham,2,2,-0.25,0,False
170121,Crystal Palace,Everton,0,1,0.25,-1,False
170121,Liverpool,Swansea,2,3,-2.0,-1,False
170121,Middlesbrough,West Ham,1,3,-0.25,-2,False
170121,Stoke,Man United,1,1,1.0,0,True
170121,West Brom,Sunderland,2,0,-1.0,2,True
170121,Bournemouth,Watford,2,2,-0.5,0,False
170122,Southampton,Leicester,3,0,-0.5,3,True
170122,Arsenal,Burnley,2,1,-2.0,1,False
170122,Chelsea,Hull,2,0,-2.0,2,False
170131,Liverpool,Chelsea,1,1,0.0,0,False
170131,Swansea,Southampton,2,1,0.25,1,True
170131,Sunderland,Tottenham,0,0,1.5,0,True
170131,Middlesbrough,West Brom,1,1,0.0,0,False
170131,Bournemouth,Crystal Palace,0,2,-0.25,-2,False
170131,Burnley,Leicester,1,0,0.0,1,True
170131,Arsenal,Watford,1,2,-2.0,-1,False
170201,Man United,Hull,0,0,-2.0,0,False
170201,West Ham,Man City,0,4,1.0,-4,False
170201,Stoke,Everton,1,1,0.0,0,False
170204,Chelsea,Arsenal,3,1,-0.5,2,True
170204,Crystal Palace,Sunderland,0,4,-1.0,-4,False
170204,Hull,Liverpool,2,0,1.0,2,True
170204,Everton,Bournemouth,6,3,-0.5,3,True
170204,West Brom,Stoke,1,0,-0.25,1,True
170204,Tottenham,Middlesbrough,1,0,-1.5,1,False
170204,Watford,Burnley,2,1,-0.25,1,True
170204,Southampton,West Ham,1,3,-0.5,-2,False
170205,Leicester,Man United,0,3,1.0,-3,False
170205,Man City,Swansea,2,1,-2.0,1,False
170211,Man United,Watford,2,0,-1.5,2,True
170211,Sunderland,Southampton,0,4,0.5,-4,False
170211,West Ham,West Brom,2,2,-0.25,0,False
170211,Stoke,Crystal Palace,1,0,-0.25,1,True
170211,Liverpool,Tottenham,2,0,-0.25,2,True
170211,Arsenal,Hull,2,0,-1.5,2,True
170211,Middlesbrough,Everton,0,0,0.25,0,True
170212,Burnley,Chelsea,1,1,1.0,0,True
170212,Swansea,Leicester,2,0,-0.25,2,True
170213,Bournemouth,Man City,0,2,1.5,-2,False
170225,West Brom,Bournemouth,2,1,-0.5,1,True
170225,Chelsea,Swansea,3,1,-1.75,2,True
170225,Crystal Palace,Middlesbrough,1,0,-0.25,1,True
170225,Everton,Sunderland,2,0,-1.25,2,True
170225,Hull,Burnley,1,1,-0.25,0,False
170225,Watford,West Ham,1,1,-0.25,0,False
170226,Tottenham,Stoke,4,0,-1.5,4,True
